Technique,Ordered Name,Coefficient
Forward Stepwise Regression,"('analcime.spc Analcime GDS1', 'montmor8.spc Montmorillonite STx-1', 'montmor7.spc Montmorillonite CM26', 'strontia.spc Strontianite HS272.3B')","(0.17128723859786987, 0.08593647927045822, 0.07261762022972107, 0.03734069690108299)"
Forward Stepwise Regression,"('kaosmec5.spc Kaolin/Smect KLF511 12%K', 'analcime.spc Analcime GDS1', 'calcite3.spc Calcite CO2004')","(0.1799204796552658, 0.15727569162845612, 0.04453092813491821)"
Forward Stepwise Regression,"('analcime.spc Analcime GDS1', 'kaosmec5.spc Kaolin/Smect KLF511 12%K', 'montmor1.spc Montmorillonite SWy-1', 'rhodoch2.spc Rhodochrosite HS67 <250um', 'opal2.spc Opal TM8896 (Hyalite)')","(0.1530640721321106, 0.0831078439950943, 0.06504076719284058, 0.05145533010363579, 0.03471646085381508)"
Forward Stepwise Regression,"('analcime.spc Analcime GDS1', 'beryl2.spc Beryl HS180.3B', 'montmor8.spc Montmorillonite STx-1', 'strontia.spc Strontianite HS272.3B', 'actinol3.spc Actinolite HS315.4B', 'montmor6.spc Montmorillonite CM20', 'europium.spc Europium_Oxide GDS33')","(0.15319882333278656, 0.13681834936141968, 0.0463651567697525, 0.04334685206413269, 0.025798583403229713, 0.01021229475736618, 0.0)"
Forward Stepwise Regression,"('analcime.spc Analcime GDS1', 'montmor8.spc Montmorillonite STx-1', 'calcite3.spc Calcite CO2004')","(0.17491444945335388, 0.12857449054718018, 0.05396123230457306)"
Forward Stepwise Regression,"('mizzoni3.spc Mizzonite HS350.3B HLSep', 'witherit.spc Witherite HS273.3B')","(0.32662534713745117, 0.0)"
Forward Stepwise Regression,"('analcime.spc Analcime GDS1', 'montmor8.spc Montmorillonite STx-1', 'strontia.spc Strontianite HS272.3B', 'muscovi3.spc Muscovite GDS111 Guatemal')","(0.17076170444488525, 0.15166886150836945, 0.04092097282409668, 0.0)"
Forward Stepwise Regression,"('analcime.spc Analcime GDS1', 'montmor8.spc Montmorillonite STx-1', 'calcite2.spc Calcite HS48.3B', 'montmor5.spc Montmorillonite CM27')","(0.17176245152950287, 0.12203492224216461, 0.05195233225822449, 0.03497416898608208)"
Forward Stepwise Regression,"('mizzoni3.spc Mizzonite HS350.3B HLSep', 'antigor4.spc Antigorite NMNH96917 70um')","(0.2929595410823822, 0.0)"
Forward Stepwise Regression,"('alunite4.spc Alunite AL706 Na', 'mizzoni3.spc Mizzonite HS350.3B HLSep', 'limonite.spc Limonite HS41.3', 'topaze.spc Topaz Mt._Antero_#5')","(0.3249051570892334, 0.2353714555501938, 0.0, 0.0)"
