Technique,Ordered Name,Coefficient
Forward Stepwise Regression,"('kaolini5.spc Kaolinite GDS11 <63um', 'analcime.spc Analcime GDS1', 'halloys3.spc Halloysite CM13', 'antigor4.spc Antigorite NMNH96917 70um', 'dickite1.spc Dickite NMNH106242')","(0.23071023376867011, 0.17159858769879818, 0.05906462769523813, 0.0, 0.0)"
Forward Stepwise Regression,"('halloys3.spc Halloysite CM13', 'analcime.spc Analcime GDS1')","(0.392897569785477, 0.15471434648493465)"
Forward Stepwise Regression,"('kaosmec2.spc Kaolin/Smect KLF508 85%K', 'howlite.spc Howlite GDS155', 'rhodoch1.spc Rhodochrosite HS338.3B', 'brucite.spc Brucite HS247.3B', 'neodymiu.spc Neodymium_Oxide GDS34', 'gypsum1.spc Gypsum HS333.3B')","(0.27148811299060677, 0.1263009332618849, 0.1053542562000963, 0.00934681274369333, 0.0, 0.0)"
Forward Stepwise Regression,"('halloys3.spc Halloysite CM13', 'analcime.spc Analcime GDS1')","(0.44169380694631, 0.13657322641116557)"
Forward Stepwise Regression,"('kaolini1.spc Kaolinite CM9', 'analcime.spc Analcime GDS1', 'halloys3.spc Halloysite CM13', 'chlorit4.spc Chlorite SMR-13.c 45-60um', 'pyrophy3.spc Pyrophyllite SU1421')","(0.2276496560521328, 0.17089353847770788, 0.07224669657948582, 0.023514466985724975, 0.0)"
Forward Stepwise Regression,"('kaosmec2.spc Kaolin/Smect KLF508 85%K', 'brucite.spc Brucite HS247.3B', 'topazi.spc Topaz HS184.3B', 'pinnoite.spc Pinnoite NMNH123943')","(0.38115951469994397, 0.14935116575406537, 0.13601469926266696, 0.0)"
Forward Stepwise Regression,"('nontron2.spc Nontronite NG-1.a', 'pinnoite.spc Pinnoite NMNH123943', 'limonite.spc Limonite HS41.3', 'endellit.spc Endellite GDS16', 'brucite.spc Brucite HS247.3B', 'beryl2.spc Beryl HS180.3B', 'alunite4.spc Alunite AL706 Na')","(0.29873070188706435, 0.10398027166933616, 0.06870073932419678, 0.03204407848299274, 0.0, 0.0, 0.0)"
Forward Stepwise Regression,"('analcime.spc Analcime GDS1', 'halloys3.spc Halloysite CM13', 'mizzoni4.spc Mizzonite HS351.3BS', 'kaolini4.spc Kaolinite KL502 (pxyl)')","(0.15509598477035094, 0.0333284879476946, 0.0, 0.0)"
Forward Stepwise Regression,"('halloys3.spc Halloysite CM13', 'analcime.spc Analcime GDS1', 'dickite1.spc Dickite NMNH106242')","(0.35827182844131283, 0.1729195053654877, 0.0)"
Forward Stepwise Regression,"('kaosmec2.spc Kaolin/Smect KLF508 85%K', 'brucite.spc Brucite HS247.3B', 'rhodoch1.spc Rhodochrosite HS338.3B', 'howlite.spc Howlite GDS155')","(0.4452281549156806, 0.13923944252761236, 0.0724718506545326, 0.0)"
